,dataset,loss,seed,coverage,length,target,lr,dropout
0,kin8nm,RQR-W,0,0.8639413118362427,1.138013482093811,0.9,0.1,0.2
0,kin8nm,RQR-W,1,0.8724831938743591,1.1334375143051147,0.9,0.01,0.2
0,kin8nm,RQR-W,2,0.8700426816940308,1.1440033912658691,0.9,0.05,0.3
0,kin8nm,RQR-W,3,0.884685754776001,1.160951018333435,0.9,0.1,0.3
0,kin8nm,RQR-W,4,0.876754105091095,1.154646635055542,0.9,0.05,0.1
0,kin8nm,RQR-W,5,0.877974271774292,1.1514586210250854,0.9,0.01,0.3
0,kin8nm,RQR-W,6,0.8828552961349487,1.1484215259552002,0.9,0.01,0.2
0,kin8nm,RQR-W,7,0.877974271774292,1.1423958539962769,0.9,0.05,0.2
0,kin8nm,RQR-W,8,0.877974271774292,1.165806770324707,0.9,0.005,0.3
0,kin8nm,RQR-W,9,0.877974271774292,1.1594394445419312,0.9,0.05,0.3
